user,oldPrincipalUsd,cmsAmountUsd,finalPrincipalUsd,skippedReason
0x00ce968a3678cdabfe3715101d9c7cb328135296,0.0,10.0,10.0,
0x0115f4584c644ba2e36e3f4ea8bba9acac101010,0.0,0.0,0.0,zero-principal
0x0245143995ee2a729d4f5391a68726b47db5050f,0.0,100.0,100.0,
0x02d4c28e34b5db699480d1332599a51039cbb445,0.0,20.0,20.0,
0x033bcb901cbfcab1180a4888cf34ef6c032bf4b1,0.0,10.0,10.0,
0x039e9fe7bf78737d9797702bd52df19b198074bd,0.0,0.0,0.0,zero-principal
0x041b310b7e0ab39ca0cc2ce1dd3c12e25f6a3c9e,0.0,100.0,100.0,
0x05762bf912b0d155ad17fae32096aa3f5b9500a6,0.0,20.0,20.0,
0x057dee95b5df8cbbaeb0759efd153591680de431,0.0,100.0,100.0,
0x06150db171eef10470e662095ce2d88ac1d6b464,0.0,0.0,0.0,zero-principal
0x067c8871adad23537527e6e657d31e487868532d,0.0,0.0,0.0,zero-principal
0x0742d2fc58566f929e60bd818a10225933eb5198,10.0,10.0,20.0,
0x08b32b6ae25b181b166bbf207db05438bda50590,10.0,10.0,20.0,
0x09558ed22ff683210b415f9b91086000ce1813a6,20.0,20.0,40.0,
0x09ef841042e7edc5719956eeb14e0c82e849cdc2,0.0,10.0,10.0,
0x0abc2aa5d675b561e62c150a54ccfe17f5dbed24,0.0,0.0,0.0,zero-principal
0x0b032d50b8ed399eb3e2964c61ceee201b508b3c,0.0,0.0,0.0,zero-principal
0x0c1d0d7418dc85ca3485b829f5b9075fb456d9cc,0.0,0.0,0.0,zero-principal
0x0cb28e1b3ef0da7b8212bd33c79d0c6c0cd21fff,0.0,0.0,0.0,zero-principal
0x0e7e8b658275fd6046357ae8e2e22be3916001b6,0.0,0.0,0.0,zero-principal
0x0ea7403a3c84927554b2d674ea473218dff95244,0.0,0.0,0.0,zero-principal
0x0f04489947638f9738fb3627f897705aeac5eca5,0.0,0.0,0.0,zero-principal
0x0f16f0c0374ae85d504882f4e25cea33bfeb5c36,0.0,0.0,0.0,zero-principal
0x0fe5f79a2c3ae8b88b595e0036eb893f7b1ecfcd,0.0,0.0,0.0,zero-principal
0x111e48c3cb865032c465202e5d1d3688de2f56da,0.0,0.0,0.0,zero-principal
0x115d3cc67e42f3e1c3e49b6c578e7947527e509a,0.0,0.0,0.0,zero-principal
0x1160b72e0ed83c893847e2b0825f1e3f008d37c3,0.0,0.0,0.0,zero-principal
0x11e6a2b45b1456eec2c3772115ed3a5768ed531d,0.0,0.0,0.0,zero-principal
0x128b0140479002c0cc02dcf943f51a0fabccae99,0.0,0.0,0.0,zero-principal
0x12f94941ff6f571a33228a67f8944acb33369fc9,0.0,0.0,0.0,zero-principal
0x130cc80b522fdb0e9d3897e95ab7d9e5de02efe9,0.0,0.0,0.0,zero-principal
0x134fb07bd53259430a2e2937c2fa80a46fe4cce5,0.0,0.0,0.0,zero-principal
0x1398e515bac51ab8c8e3e49c4bc60f36b0abc94d,0.0,0.0,0.0,zero-principal
0x140e3b32c9473b0f0e1411c37a7ea57416171fc5,0.0,0.0,0.0,zero-principal
0x1433a3fe62e48258ea27b4fb77ea8426393db6e9,0.0,0.0,0.0,zero-principal
0x143959658b543de52934f12aee1345116a6558a7,0.0,0.0,0.0,zero-principal
0x1446e9f843cf7c778d51d4964ecda5db2362de54,0.0,0.0,0.0,zero-principal
0x146f3c4636f978cb8e69cbc22b910baaf439232c,0.0,0.0,0.0,zero-principal
0x15a8c90599a3a9a3eaff236f8c4165d5e9c8395b,0.0,0.0,0.0,zero-principal
0x16fdb82f1d287cf3e40620ac3997962ac55c9c28,0.0,0.0,0.0,zero-principal
0x1812a39c35392556b2106394d100552ea4991755,0.0,0.0,0.0,zero-principal
0x18cd7eb414b2c6251674318b285204957fe09df0,0.0,0.0,0.0,zero-principal
0x1904d9b7835ad385a276a306f437d726613b3c0e,0.0,0.0,0.0,zero-principal
0x1955b1cf9fe40eae1a9637dd7c6ad78baaf603da,0.0,0.0,0.0,zero-principal
0x196c55fbd51c5e49d061c336bfbc0bdd8adf23e8,0.0,0.0,0.0,zero-principal
0xd3b8d78c447c64ebb1d9815abb1019ea2cba74fb,0.0,0.0,0.0,zero-principal
0x19d34671b0b1d94fa73a0fb117798eaae48d4d4f,0.0,0.0,0.0,zero-principal
0x1a2e414f6e95cadcf73ae1890796371185d32fcb,0.0,0.0,0.0,zero-principal
0x1b12211272b004ddf485dee46b3a212777ca3c77,0.0,0.0,0.0,zero-principal
0x1c1cbd5b8ce6980879d08f57da7047d9530eca11,0.0,0.0,0.0,zero-principal
0x1c554b4ba2e2ce82dfc2b89591a7ce259c7dcafa,0.0,0.0,0.0,zero-principal
0x1c806e07146c414ce1f0406819e02a876c1e70a2,0.0,0.0,0.0,zero-principal
0x1d6edffdd6aa8ef937e25c676b808cd89b523b1c,0.0,0.0,0.0,zero-principal
0x1e9fb8b65be4cc682bd75e499e6cb9114c4d719e,0.0,0.0,0.0,zero-principal
0x1ee2f2ccd2de113b4fbc0b9251680cb27a602881,0.0,0.0,0.0,zero-principal
0x1fa04b000a733343441c42ecc337e4c3dc01ecb1,0.0,0.0,0.0,zero-principal
0x2158b8d5b1479c0a5fa210f39c184e747a6981b3,0.0,0.0,0.0,zero-principal
0x2192bef742d21b2668db7b97a8a7b8a36604eacf,0.0,0.0,0.0,zero-principal
0x21acc7b9d6fc22bcacc04f2d54825db0ef1fdfb3,0.0,0.0,0.0,zero-principal
0x22a875bc5465c37199d7a9cef55f385656a9b105,0.0,0.0,0.0,zero-principal
0x22b4b9e8772b875d93c4df9124c2218f82d997d8,0.0,0.0,0.0,zero-principal
0x2406da840a01bced626a20939e6af819e569702e,0.0,0.0,0.0,zero-principal
0x245b5b158e2622c6a204f6d069f6db5eb42bffbc,0.0,0.0,0.0,zero-principal
0x246e409bdb7444f78e78f86283e353a3e9809114,0.0,0.0,0.0,zero-principal
0x24a4d280f9986d1dcb2547ca0bdd952f97bf81aa,0.0,0.0,0.0,zero-principal
